scenario,base_soil,USDA_class,sand,silt,clay,theta_r,theta_s,alpha,vg_n,bc_n,Ks,q0
sand000_silt000_clay100,clay,clay,0,0,100,0.1095,0.4968,0.0159,1.1548,0.05344774038777588,0.7704166666666666,0.7704166666666666
sand000_silt010_clay090,clay,clay,0,10,90,0.1074,0.516,0.0188,1.1568,0.05397676681441069,0.7379166666666667,0.7379166666666667
sand000_silt020_clay080,clay,clay,0,20,80,0.1077,0.5252,0.0199,1.1801,0.05996066514533884,0.7129166666666666,0.7129166666666666
sand000_silt030_clay070,clay,clay,0,30,70,0.1079,0.528,0.0191,1.2167,0.06876513965400247,0.8424999999999999,0.8424999999999999
sand000_silt040_clay060,clay,clay,0,40,60,0.1082,0.5259,0.0169,1.27,0.0805076006236168,1.0654166666666667,1.0654166666666667
sand000_silt050_clay050,silty clay,silty clay,0,50,50,0.1071,0.52,0.0143,1.3458,0.09545897189727759,0.6083333333333333,0.6083333333333333
sand000_silt060_clay040,silty clay,silty clay,0,60,40,0.1007,0.5058,0.0113,1.4389,0.11165186502214158,0.4320833333333333,0.4320833333333333
sand000_silt070_clay030,silty clay loam,silty clay loam,0,70,30,0.0902,0.4809,0.0083,1.5238,0.12478555231969675,0.34208333333333335,0.34208333333333335
sand000_silt080_clay020,silt loam,silt loam,0,80,20,0.0795,0.4729,0.0073,1.5859,0.13358254134550757,0.3779166666666667,0.3779166666666667
sand000_silt090_clay010,silt,silt,0,90,10,0.0626,0.5022,0.0083,1.6205,0.13822393827955304,0.7129166666666666,0.7129166666666666
sand000_silt100_clay000,silt,silt,0,100,0,0.0445,0.5831,0.0141,1.6154,0.1375507861534114,1.5841666666666667,1.5841666666666667
sand010_silt000_clay090,clay,clay,10,0,90,0.1036,0.4887,0.0174,1.1403,0.049533469956319125,0.7200000000000001,0.7200000000000001
sand010_silt010_clay080,clay,clay,10,10,80,0.1021,0.5028,0.0202,1.1562,0.05381832658410084,0.7054166666666667,0.7054166666666667
sand010_silt020_clay070,clay,clay,10,20,70,0.1018,0.5076,0.0201,1.19,0.062409717631909625,0.7525,0.7525
sand010_silt030_clay060,clay,clay,10,30,60,0.1018,0.5059,0.0179,1.2409,0.07424075120173103,1.05125,1.05125
sand010_silt040_clay050,clay,clay,10,40,50,0.1008,0.4991,0.0145,1.3179,0.0901651160293155,0.7741666666666666,0.7741666666666666
sand010_silt050_clay040,silty clay,silty clay,10,50,40,0.0967,0.4892,0.011,1.425,0.10936359246342461,0.5545833333333333,0.5545833333333333
sand010_silt060_clay030,silty clay loam,silty clay loam,10,60,30,0.0862,0.4663,0.0074,1.5357,0.12652049122865,0.4895833333333333,0.4895833333333333
sand010_silt070_clay020,silt loam,silt loam,10,70,20,0.0741,0.4515,0.0055,1.6289,0.13932460823963883,0.5904166666666667,0.5904166666666667
sand010_silt080_clay010,silt loam,silt loam,10,80,10,0.0585,0.4725,0.0058,1.6745,0.1451311903073296,1.2816666666666667,1.2816666666666667
sand010_silt090_clay000,silt,silt,10,90,0,0.04,0.551,0.0093,1.6576,0.14301161788043762,3.1824999999999997,3.1824999999999997
sand020_silt000_clay080,clay,clay,20,0,80,0.1,0.4761,0.0208,1.1325,0.04736748322498944,0.56875,0.56875
sand020_silt010_clay070,clay,clay,20,10,70,0.0989,0.4853,0.0233,1.1597,0.054739358586042085,0.6083333333333333,0.6083333333333333
sand020_silt020_clay060,clay,clay,20,20,60,0.0971,0.4852,0.021,1.2058,0.06621268967126064,0.7379166666666667,0.7379166666666667
sand020_silt030_clay050,clay,clay,20,30,50,0.0954,0.4784,0.0168,1.2774,0.08205050995627354,0.6229166666666667,0.6229166666666667
sand020_silt040_clay040,clay,clay,20,40,40,0.0917,0.4693,0.0121,1.3853,0.10258742219266649,0.5220833333333333,0.5220833333333333
sand020_silt050_clay030,silty clay loam,silty clay loam,20,50,30,0.0828,0.4526,0.0077,1.5156,0.12357577261762566,0.51125,0.51125
sand020_silt060_clay020,silt loam,silt loam,20,60,20,0.0693,0.4327,0.0049,1.6382,0.1405316883820106,0.62625,0.62625
sand020_silt070_clay010,silt loam,silt loam,20,70,10,0.0537,0.4459,0.0044,1.7139,0.1499317764229335,1.4725000000000001,1.4725000000000001
sand020_silt080_clay000,silt loam,silt loam,20,80,0,0.0358,0.5178,0.0068,1.6942,0.14755560392565806,4.212083333333333,4.212083333333333
sand030_silt000_clay070,clay,clay,30,0,70,0.097,0.4583,0.0256,1.1329,0.047479637344559365,0.45,0.45
sand030_silt010_clay060,clay,clay,30,10,60,0.0951,0.4622,0.0268,1.1697,0.05732935915015036,0.47500000000000003,0.47500000000000003
sand030_silt020_clay050,clay,clay,30,20,50,0.0922,0.4571,0.0223,1.2317,0.07218896164518693,0.5437500000000001,0.5437500000000001
sand030_silt030_clay040,clay,clay,30,30,40,0.0872,0.4478,0.0158,1.3275,0.09201236726328514,0.29541666666666666,0.29541666666666666
sand030_silt040_clay030,clay loam,clay loam,30,40,30,0.0795,0.4373,0.0102,1.4569,0.11455418828470326,0.44625000000000004,0.44625000000000004
sand030_silt050_clay020,loam,loam,30,50,20,0.0653,0.4174,0.0059,1.5894,0.1340601308478495,0.6695833333333333,0.6695833333333333
sand030_silt060_clay010,silt loam,silt loam,30,60,10,0.049,0.4228,0.0045,1.6908,0.14714066838031922,1.6595833333333332,1.6595833333333332
sand030_silt070_clay000,silt loam,silt loam,30,70,0,0.0316,0.4867,0.006,1.6918,0.1472628578949707,5.292083333333333,5.292083333333333
sand040_silt000_clay060,clay,clay,40,0,60,0.0934,0.4351,0.0294,1.1427,0.05019120601670809,0.5975,0.5975
sand040_silt010_clay050,clay,clay,40,10,50,0.0896,0.434,0.0289,1.1912,0.06270301943870413,0.5795833333333333,0.5795833333333333
sand040_silt020_clay040,clay,clay,40,20,40,0.0846,0.4268,0.0226,1.2698,0.08046562597221135,0.28750000000000003,0.28750000000000003
sand040_silt030_clay030,clay loam,clay loam,40,30,30,0.0768,0.4197,0.0157,1.3797,0.1016012951838121,0.23750000000000002,0.23750000000000002
sand040_silt040_clay020,loam,loam,40,40,20,0.0627,0.4063,0.0097,1.4966,0.12072653423401385,0.4141666666666666,0.4141666666666666
sand040_silt050_clay010,loam,loam,40,50,10,0.0449,0.4048,0.0066,1.5902,0.13416903353416743,1.3895833333333334,1.3895833333333334
sand040_silt060_clay000,silt loam,silt loam,40,60,0,0.0277,0.46,0.0075,1.6168,0.1377359436407738,5.832083333333333,5.832083333333333
sand050_silt000_clay050,sandy clay,sandy clay,50,0,50,0.0876,0.409,0.0292,1.1656,0.056274761094982265,0.7379166666666667,0.7379166666666667
sand050_silt010_clay040,sandy clay,sandy clay,50,10,40,0.0817,0.4063,0.0281,1.2263,0.0709678478242513,0.5833333333333334,0.5833333333333334
sand050_silt020_clay030,sandy clay loam,sandy clay loam,50,20,30,0.074,0.4018,0.0229,1.3138,0.08936766556585106,0.3545833333333333,0.3545833333333333
sand050_silt030_clay020,loam,loam,50,30,20,0.0612,0.397,0.0175,1.4079,0.10648982617927269,0.5616666666666666,0.5616666666666666
sand050_silt040_clay010,loam,loam,50,40,10,0.0422,0.3931,0.0131,1.4716,0.11687540770703353,1.07625,1.07625
sand050_silt050_clay000,sandy loam,sandy loam,50,50,0,0.0247,0.4385,0.0135,1.5012,0.12142235921534235,3.9600000000000004,3.9600000000000004
sand060_silt000_clay040,sandy clay,sandy clay,60,0,40,0.0803,0.386,0.0263,1.203,0.06554784373332503,0.7633333333333333,0.7633333333333333
sand060_silt010_clay030,sandy clay loam,sandy clay loam,60,10,30,0.0717,0.3855,0.0271,1.274,0.08134404730080923,0.5220833333333333,0.5220833333333333
sand060_silt020_clay020,sandy clay loam,sandy clay loam,60,20,20,0.0594,0.387,0.026,1.3553,0.09721109467313316,0.78125,0.78125
sand060_silt030_clay010,sandy loam,sandy loam,60,30,10,0.0413,0.3878,0.0245,1.4068,0.10630268246689796,1.505,1.505
sand060_silt040_clay000,sandy loam,sandy loam,60,40,0,0.0238,0.4222,0.0281,1.4281,0.10987756738974383,3.7441666666666666,3.7441666666666666
sand070_silt000_clay030,sandy clay loam,sandy clay loam,70,0,30,0.0726,0.3702,0.0234,1.2696,0.0804236367299213,0.60125,0.60125
sand070_silt010_clay020,sandy clay loam,sandy clay loam,70,10,20,0.0598,0.3764,0.029,1.3553,0.09721109467313316,0.9070833333333334,0.9070833333333334
sand070_silt020_clay010,sandy loam,sandy loam,70,20,10,0.0425,0.3846,0.0349,1.4271,0.10971199976794842,1.9045833333333333,1.9045833333333333
sand070_silt030_clay000,sandy loam,sandy loam,70,30,0,0.0247,0.4096,0.0455,1.4716,0.11687540770703353,4.067916666666666,4.067916666666666
sand080_silt000_clay020,sandy clay loam,sandy clay loam,80,0,20,0.0662,0.3642,0.0224,1.4545,0.1141710838785384,1.0729166666666667,1.0729166666666667
sand080_silt010_clay010,sandy loam,sandy loam,80,10,10,0.0488,0.3786,0.0345,1.6167,0.1377227274302237,3.23625,3.23625
sand080_silt020_clay000,loamy sand,loamy sand,80,20,0,0.0299,0.3995,0.0514,1.7773,0.15727010958924456,5.435833333333334,5.435833333333334
sand090_silt000_clay010,loamy sand,loamy sand,90,0,10,0.0628,0.3663,0.025,2.24,0.199854172721921,8.352083333333333,8.352083333333333
sand090_silt010_clay000,sand,sand,90,10,0,0.0403,0.3894,0.043,2.7502,0.2322046527652322,15.695833333333333,15.695833333333333
sand100_silt000_clay000,sand,sand,100,0,0,0.0507,0.376,0.0343,4.4248,0.2904131375957209,59.52041666666667,59.52041666666667
